ID,Game Title,Source,Researcher,Included,Exclusion Notes,URL,Publication Year,Developers,Publisher,Still being used in classrooms?,Still accessible/downloadable?,Discontinued support?,Generalized Subject,Subject1,Subject2,Subject remainder (a++ b++ c),Teaching (College++ Training++ Work),Colleges that use the game,Cost,Game Type (Story++ Simulation...),Genre: single player++ multiplayer++ other (specify),Tags,Game Time,2D/3D,Sound,Platform,Available in Spanish,Available in other languages,Notes,Image
1246,Boone's Meadow,Games and Impact,Tristen,FALSE,Middle School Audience,https://gamesandimpact.org/transformational-play/,,2013,Arizona State University,N,N,Y,,,,,Undergraduate,,N/A,Story,Singleplayer,,2 hr,3D,Y,PC,N,N,,
1247,Brain Shift,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1248,Brain Shift Overdrive,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1249,Branches of Power,iCivics,Tristen,FALSE,9-12+,https://www.icivics.org/games,2009,iCivics,,Y,Y,N,,Political Science,History,,Undefined,N/A,Free,,Singleplayer,Educational,,2D,Y,PC,,N,,
1250,Bubble Function,Mangahigh,Tristen,FALSE,K-12 audience,https://www.mangahigh.com/en-us/games,,,MangaHigh,,,,,,,,,,,,,,,,,,,,,
1251,Butt-Ugly Martians: Zoom or Doom,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1252,Cardio Ex,Apple App Store,Tristen,TRUE,,https://www.levelex.com/games/,,,Level Ex,Y,Y,N,Biology,Cardiology,Medicine,Biology,Undergraduate/Graduate,,Free,Puzzle,Singleplayer,,,3D,Y,IOS/Android,N,N,,
1253,Cast Your Vote,iCivics,Tristen,FALSE,9-12+,https://www.icivics.org/games,2009,iCivics,,Y,Y,N,,Political Science,History,,Undefined,N/A,Free,,Singleplayer,Educational,,2D,Y,PC,,N,,
1254,Cells: Cell Orgnelles and Disease,TeachersPayTeachers,Tristen,FALSE,Middle School Audience,https://www.tytoonline.com/,,Tyto Online,,Y,Y,N,,,,,,,Free,,Singleplayer,Simulation++ Educational,,3D,N,PC,,N,,
1255,Cellverse,MIT Game Lab,Tristen,TRUE,,http://gamelab.mit.edu/games/,2020,MIT Game Lab,,Y,Y,N,Biology,Biology,,,Undergraduate,MIT,Free,Singleplayer,Educational,UC,UC,PC,N,,,,,
1256,Chalkboard Challenge,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1257,Char-Toons,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,,ThinkZone,,,,,,,,,,,,,,,,,,,,,,
1258,Chicken Farm,Nobel Prize,Tristen,TRUE,,https://educationalgames.nobelprize.org/educational/medicine/vitamin_b1/index.php,,2022,Nobel Media,N,Y,N,Agriculture,Nutrition,Agriculture,,Undergraduate,,Free,Point-And-Click,Singleplayer,,30 min,2D,Y,PC,N,N,,
1259,Chirality,Nobel Prize,Tristen,TRUE,,https://educationalgames.nobelprize.org/educational/chemistry/chiral/index.php,,2022,Nobel Media,N,Y,N,Chemistry,Chemistry,Molecules,,Undergraduate,,Free,Point-And-Click,Singleplayer,,30 min,2D,Y,PC,N,N,,
1260,Coding Pirates,SeriousGames,Tristen,FALSE,5-12 curriculum,https://www.seriousgames.net/en/,,,Serious Games Interactive,,,,,,,,,,,,,,,,,,,,,
1261,Color Match,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1262,Color Theory,MIT Game Lab,Tristen,FALSE,9th-12th,http://gamelab.mit.edu/games/,,MIT Game Lab,,,,,,,,,,,,,,,,,,,,,,
1263,Consstitutional Compromise,iCivics,Tristen,FALSE,9-12+,https://www.icivics.org/games,2009,iCivics,,Y,Y,N,,Political Science,History,,Undefined,N/A,Free,,Singleplayer,Educational,,2D,Y,PC,,N,,
1264,Contextual,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1265,Continuum,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1266,Control of the Cell Cycle,Nobel Prize,Tristen,TRUE,,https://educationalgames.nobelprize.org/educational/medicine/2001/index.php,,2021,Nobel Media,N,Y,N,Biology,Biology,,,Undergraduate,,Free,Point-And-Click,Singleplayer,,30 min,2D,Y,PC,N,N,,
1267,Convene the Council,iCivics,Tristen,FALSE,9-12+,https://www.icivics.org/games,2009,iCivics,,Y,Y,N,,Political Science,History,,Undefined,N/A,Free,,Singleplayer,Educational,,2D,Y,PC,,N,,
1268,Counties Work,iCivics,Tristen,FALSE,9-12+,https://www.icivics.org/games,2009,iCivics,,Y,Y,N,,Political Science,History,,Undefined,N/A,Free,,Singleplayer,Educational,,2D,Y,PC,,N,,
1269,Counties Work: Texas,iCivics,Tristen,FALSE,9-12+,https://www.icivics.org/games,2009,iCivics,,Y,Y,N,,Political Science,History,,Undefined,N/A,Free,,Singleplayer,Educational,,2D,Y,PC,,N,,
1270,Court Quest,iCivics,Tristen,FALSE,9-12+,https://www.icivics.org/games,2009,iCivics,,Y,Y,N,,Political Science,History,,Undefined,N/A,Free,,Singleplayer,Educational,,2D,Y,PC,,N,,
1271,Curious George Downtown Adventure,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1272,Deepest Ocean,Mangahigh,Tristen,FALSE,K-12 audience,https://www.mangahigh.com/en-us/games,,,MangaHigh,,,,,,,,,,,,,,,,,,,,,
1273,Disappearing Witch,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,,ThinkZone,,,,,,,,,,,,,,,,,,,,,,
1274,Disillusion,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1275,Diving into Data,Games and Impact,Tristen,TRUE,,https://gamesandimpact.org/transformational-play/,,2013,Arizona State University,N,N,Y,Computer Science,Education,Data Analysis,,Undergraduate,,N/A,Story,Singleplayer,,2 hr,3D,Y,PC,N,N,,
1276,DNA - the Double Helix,Nobel Prize,Tristen,TRUE,,https://educationalgames.nobelprize.org/educational/medicine/dna_double_helix/index.php,,2022,Nobel Media,N,Y,N,Biology,Genetics,Biology,Chemistry,Undergraduate,,Free,Point-And-Click,Singleplayer,,30 min,2D,Y,PC,N,N,,
1277,Do I Have a Right?,iCivics,Tristen,FALSE,9-12+,https://www.icivics.org/games,2009,iCivics,,Y,Y,N,,Political Science,History,,Undefined,N/A,Free,,Singleplayer,Educational,,2D,Y,PC,,N,,
1278,DR Ramasjang,SeriousGames,Tristen,FALSE,5-12 curriculum,https://www.seriousgames.net/en/,,,Serious Games Interactive,,,,,,,,,,,,,,,,,,,,,
1279,Dr. Brain: Puzzle Madness,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1280,Dream Logic for Puzzles,MIT Game Lab,Tristen,FALSE,9th-12th,http://gamelab.mit.edu/games/,,MIT Game Lab,,,,,,,,,,,,,,,,,,,,,,
1281,Ebb and Flow,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1282,Ecology: Flow of Energy within an Ecosystem,TeachersPayTeachers,Tristen,FALSE,Middle School Audience,https://www.tytoonline.com/,,Tyto Online,,Y,Y,N,,,,,,,Free,,Singleplayer,Simulation++ Educational,,3D,N,PC,,N,,
1283,Editor's Choice,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1284,Egyptian Hieroglyphs to Latin Alphatbet,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,,ThinkZone,,,,,,,,,,,,,,,,,,,,,,
1285,Electrocardiogram - ECG,Nobel Prize,Tristen,TRUE,,https://educationalgames.nobelprize.org/educational/medicine/ecg/index.php,,2022,Nobel Media,N,Y,N,Biology,Radiology,Biology,,Undergraduate,,Free,Point-And-Click,Singleplayer,,30 min,2D,Y,PC,N,N,,
1286,eleMental,E-Line Media,Tristen,FALSE,Unreleased,https://elinemedia.com/projects/,,,,,Y,,,,,,,,,,,,,,,,,,,
1287,Emergent Narrative,MIT Game Lab,Tristen,FALSE,9th-12th,http://gamelab.mit.edu/games/,,MIT Game Lab,,,,,,,,,,,,,,,,,,,,,,
1288,English Language Proficiency,SeriousGames,Tristen,FALSE,5-12 curriculum,https://www.seriousgames.net/en/,,,Serious Games Interactive,,,,,,,,,,,,,,,,,,,,,
1289,Executive Command,iCivics,Tristen,FALSE,9-12+,https://www.icivics.org/games,2009,iCivics,,Y,Y,N,,Political Science,History,,Undefined,N/A,Free,,Singleplayer,Educational,,2D,Y,PC,,N,,
1290,Eye of the Donkey,Nobel Prize,Tristen,TRUE,,https://educationalgames.nobelprize.org/educational/chemistry/pcr/index.php,,2022,Nobel Media,N,Y,N,Biology,Genetics,Biology,Forensics,Undergraduate,,Free,Point-And-Click,Singleplayer,,30 min,2D,Y,PC,N,N,,
1291,Fab: The Game,E-Line Media,Tristen,FALSE,K-12,https://elinemedia.com/projects/,,,,,Y,,,,,,,,,,,,,,,,,,,
1292,Feel The Beat,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1293,Fisher-Price: Big Action: Garage,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1294,Fisher-Price: Imaginext: Battle Castle,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1295,Fisher-Price: Imaginext: Pirate Raider,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1296,Fisher-Price: Little People -- Discorvery Airport,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1297,Fisher-Price: Rescue Heroes Meteor Madness,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1298,Fisher-Price: Rescue Heroes Tremor Trouble,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1299,Fisher-Price: Rescue Heroes: Mission Select,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1300,Fisher-Price: Time to Play Petshop,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1301,Flags,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,,ThinkZone,,,,,,,,,,,,,,,,,,,,,,
1302,Flexagons,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,,ThinkZone,,,,,,,,,,,,,,,,,,,,,,
1303,Flower Power,Mangahigh,Tristen,FALSE,K-12 audience,https://www.mangahigh.com/en-us/games,,,MangaHigh,,,,,,,,,,,,,,,,,,,,,
1304,Fuse Clues ,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1305,Gamestar Mechanic,E-Line Media,Tristen,FALSE,K-12 audience,https://gamestarmechanic.com/,2011,Gamestar Mechanic,,N,Y,Y,,Game Design,STEM,Storytelling,Undefined,,Free,,Singleplayer,Educational++ Puzzle++ Visual Novel,,2D,Y,PC,,N,Much like Roblox++ Gamestar Mechanic is a game hosting/creation platform rather than a definitive game,
1306,Gastro Ex,Apple App Store,Tristen,TRUE,,https://www.levelex.com/games/,,,Level Ex,Y,Y,N,Biology,Gastroenterology,Medicine,Biology,Undergraduate/Graduate,,Free,Puzzle,Singleplayer,,,3D,Y,IOS/Android,N,N,,
1307,Gazillionare Deluxe,ClassicReupload,Tristen,TRUE,,https://classicreload.com/win3x-gazillionaire-deluxe.html,1996,,,N,Y,N,Business,Business,Economics,,Undefined,N/A,Free,,Singleplayer,,,2D,N,PC,,N,expansion packs available,
1308,Gears,BrainQuake,Tristen,FALSE,K-Adult audience; no post-high school content,,,,,,,,,,,,,,,,,,,,,,,,,
1309,Genetics: Food Shortage,TeachersPayTeachers,Tristen,FALSE,K-12,https://www.tytoonline.com/,2019,Tyto Online,N/A,Y,Y,N,,,,,,,Free,,Singleplayer,Simulation++ Educational,,3D,N,PC,,N,,
1310,Gibberish Generator,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,,ThinkZone,,,,,,,,,,,,,,,,,,,,,,
1311,Global Conflicts,SeriousGames,Tristen,FALSE,5-12 curriculum,https://www.seriousgames.net/en/,,,Serious Games Interactive,,,,,,,,,,,,,,,,,,,,,
1312,Go Time,Preloaded,Tristen,FALSE,Simulation,,,,,,,,,,,,,,,,,,,,,,,,,
1313,Graphs of the Galaxy,Mangahigh,Tristen,FALSE,K-12 audience,https://www.mangahigh.com/en-us/games,,,MangaHigh,,,,,,,,,,,,,,,,,,,,,
1314,Growth & Genetics: Heredity of Traits within Families,TeachersPayTeachers,Tristen,FALSE,Middle School Audience,,,,,,,,,,,,,,Free,,Singleplayer,Simulation++ Educational,,3D,N,PC,,N,,
1315,Growth & Genetics: Selective Breeding in Food,TeachersPayTeachers,Tristen,FALSE,Middle School Audience,https://www.tytoonline.com/,,Tyto Online,,Y,Y,N,,,,,,,Free,,Singleplayer,Simulation++ Educational,,3D,N,PC,,N,,
1316,Halve Your Cake,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1317,Hidden Object Games,MIT Game Lab,Tristen,FALSE,9th-12th,http://gamelab.mit.edu/games/,,MIT Game Lab,,,,,,,,,,,,,,,,,,,,,,
1318,Highway Hazards,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1319,Historia,E-Line Media,Tristen,FALSE,Not complete,https://elinemedia.com/projects/,,,,,Y,,,,,,,,,,,,,,,,,,,
1320,How Not to Suck at Money,Preloaded,Tristen,TRUE,,https://preloaded.com/work/invesco/,,2020,Preloaded,N,Y,N,Economics,Economics,,,Undergraduate,,Free,Point-and-Click,Singleplayer,,,3D,Y,PC,N,N,,
1321,Ice Ice Maybe,Mangahigh,Tristen,FALSE,K-12 audience,https://www.mangahigh.com/en-us/games,,,MangaHigh,,,,,,,,,,,,,,,,,,,,,
1322,Immigration Nation,iCivics,Tristen,FALSE,9-12+,https://www.icivics.org/games,2009,iCivics,,Y,Y,N,,Political Science,History,,Undefined,N/A,Free,,Singleplayer,Educational,,2D,Y,PC,,N,,
1323,Immune Responses,Nobel Prize,Tristen,TRUE,,https://educationalgames.nobelprize.org/educational/medicine/immuneresponses/index.php,,2022,Nobel Media,N,Y,N,Biology,Physiology,Medicine,Biology,Undergraduate,,Free,Point-And-Click,Singleplayer,,30 min,2D,Y,PC,N,N,,
1324,In 90 Days,Google Play,Tristen,TRUE,,https://preloaded.com/work/in-90-days/,,2021,Preloaded,N,Y,N,Humanitarian ,Social Work,,,Undergraduate,,Free,Strategy,Singleplayer,,,2D,Y,Google Play,N,N,,
1325,Intro to Coding and Game Design,Roblox,Tristen,FALSE,Lesson utilizing Roblox Studio++ not an isolated game experience,https://create.roblox.com/docs/tutorials/first-experience,2018,Roblox,N/A,Unsure,Y,N,,Coding,Game Design,,Undefined,,Free,,Singleplayer,Educational++ Sandbox,,3D,N,PC,,N,Most content on Roblox Eduction includes partnered educators rather than games published under Roblox education,
1326,Jabara,Mangahigh,Tristen,FALSE,K-12 audience,https://www.mangahigh.com/en-us/games,,,MangaHigh,,,,,,,,,,,,,,,,,,,,,
1327,Jetstream Riders,Mangahigh,Tristen,FALSE,K-12 audience,https://www.mangahigh.com/en-us/games,,,MangaHigh,,,,,,,,,,,,,,,,,,,,,
1328,JumpsStart 1st-3rd Grade Learning Playground,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1329,JumpStart 5th Grade Adventure,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1330,JumpStart ABC's,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1331,JumpStart Advanced 1st Grade,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1332,JumpStart Advanced 2nd Grade,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1333,JumpStart Advanced 3rd -- 5th Grade: Adventures of Dr. Brain,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1334,JumpStart Advanced 3rd Grade,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1335,JumpStart Advanced 4th Grade,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1336,JumpStart Advanced 5th & 6th Grade,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1337,JumpStart Advanced Preschool,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1338,JumpStart Advanced Toddlers,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1339,JumpStart Kindergarten,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1340,JumpStart Learning Games: ABC's,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1341,JumpStart Pet Rescue,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1342,JumpStart Phonics,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1343,JumpStart Preschool - 1st Grade Learning Playground,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1344,JumpStart Spanish,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1345,JumpStart Study Helpers: Math Booster,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1346,Jumpstart Study Helpers: Spelling Bee,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1347,JumpStart Typing,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1348,Jurassic Park III: Danger Zone!,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1349,Jurassic Park III: Dino Defender,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1350,Jurrasic Park: Dinosaur Battles,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1351,Kerbal Space Program,Steam,Tristen,TRUE,,https://store.privatedivision.com/game/kerbal-space-program-2,2015,Squad,Private Division,Y,Y,N,Physics,Aerospace,Engineering,,Undefined,,$39.99 ,,Multiplayer,Simulation,,3D,Y,PC/PS5/PS4/Xbox One/Xbox Series X,,Y,,
1352,Kerbal Space Program 2,Steam,Tristen,TRUE,,https://store.privatedivision.com/game/kerbal-space-program-2,2023,Squad,Private Division,N,Y,N,Physics,Aerospace,Engineering,,Undefined,,$39.99 ,,Multiplayer,Simulation,,3D,Y,PC,,Y,,
1353,Kid's Zoo: A Baby Animal Adventure,IGN,Tristen,FALSE,K-8 curriculum,https://apps.apple.com/us/developer/mindsnacks/id385497071?see-all=i-phonei-pad-apps,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1354,Kinegrams,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,,ThinkZone,,,,,,,,,,,,,,,,,,,,,,
1355,Korean Alphabet,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,,ThinkZone,,,,,,,,,,,,,,,,,,,,,,
1356,LawCraft,iCivics,Tristen,FALSE,9-12+,https://www.icivics.org/games,2009,iCivics,,Y,Y,N,,Political Science,History,,Undefined,N/A,Free,,Singleplayer,Educational,,2D,Y,PC,,N,,
1357,Learn Chinese by Mindsnacks,Apple App Store,Tristen,TRUE,,https://apps.apple.com/us/developer/mindsnacks/id385497071?see-all=i-phonei-pad-apps,,2011,Mindsnacks,N,Y,Y,Language,Chinese,Language,,High School/Undergraduate,,Free,Puzzle,Singeplayer,,,2D,Y,IOS,N,N,Support seemingly discontinued in 2014,
1358,Learn French by Mindsnacks,Apple App Store,Tristen,TRUE,,https://apps.apple.com/us/developer/mindsnacks/id385497071?see-all=i-phonei-pad-apps,,2011,Mindsnacks,N,Y,Y,Language,French,Language,,High School/Undergraduate,,Free,Puzzle,Singeplayer,,,2D,Y,IOS,N,N,Support seemingly discontinued in 2014,
1359,Learn German by Mindsnacks,Apple App Store,Tristen,TRUE,,https://apps.apple.com/us/developer/mindsnacks/id385497071?see-all=i-phonei-pad-apps,,2011,Mindsnacks,N,Y,Y,Language,German,Language,,High School/Undergraduate,,Free,Puzzle,Singeplayer,,,2D,Y,IOS,N,N,Support seemingly discontinued in 2014,
1360,Learn Italian by Mindsnacks,Apple App Store,Tristen,TRUE,,https://apps.apple.com/us/developer/mindsnacks/id385497071?see-all=i-phonei-pad-apps,,2011,Mindsnacks,N,Y,Y,Language,Italian,Language,,High School/Undergraduate,,Free,Puzzle,Singeplayer,,,2D,Y,IOS,N,N,Support seemingly discontinued in 2014,
1361,Learn Japanese by Mindsnacks,Apple App Store,Tristen,TRUE,,https://apps.apple.com/us/developer/mindsnacks/id385497071?see-all=i-phonei-pad-apps,,2011,Mindsnacks,N,Y,Y,Language,Japanese,Language,,High School/Undergraduate,,Free,Puzzle,Singeplayer,,,2D,Y,IOS,N,N,Support seemingly discontinued in 2014,
1362,Learn Portugese by Mindsnacks,Apple App Store,Tristen,TRUE,,https://apps.apple.com/us/developer/mindsnacks/id385497071?see-all=i-phonei-pad-apps,,2011,Mindsnacks,N,Y,Y,Language,Portugese,Language,,High School/Undergraduate,,Free,Puzzle,Singeplayer,,,2D,Y,IOS,N,N,Support seemingly discontinued in 2014,
1363,Learn Spanish by Mindsnacks,Apple App Store,Tristen,TRUE,,https://apps.apple.com/us/developer/mindsnacks/id385497071?see-all=i-phonei-pad-apps,,2011,Mindsnacks,N,Y,Y,Language,Spanish,Language,,High School/Undergraduate,,Free,Puzzle,Singeplayer,,,2D,Y,IOS,N,N,Support seemingly discontinued in 2014,
1364,Learning Fractions,MIT Game Lab,Tristen,FALSE,9th-12th,http://gamelab.mit.edu/games/,,MIT Game Lab,,,,,,,,,,,,,,,,,,,,,,
1365,Little Raincloud,Mangahigh,Tristen,FALSE,K-12 audience,https://www.mangahigh.com/en-us/games,,,MangaHigh,,,,,,,,,,,,,,,,,,,,,
1366,Lost in Migration,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1367,Lure of the Labyrinth,MIT Step Labs,Tristen,FALSE,Middle School Audience,https://education.mit.edu/project/lure-of-the-labyrinth/,2009,MIT,,N,N,Y,,Algebra,Mathematics,,Undefined,N/A,Free,,Singleplayer,Graphic Novel++ Educational,,2D,N,PC,,Y,,
1368,Magic Chance,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1369,Map Fun,Keith's Think Zone,Tristen,FALSE,K-12,https://thinkzone.wlonk.com/,,ThinkZone,,,,,,,,,,,,,,,,,,,,,,
1370,Martha Madison: Electricity,Steam,Tristen,FALSE,K-8 Audience,https://store.steampowered.com/bundle/6181/Martha_Madison_The_Complete_Collection/,2018,Second Avenue Learning,,Y,Y,N,,Physics,,,Undefined,N/A,$1.99,,Singleplayer,,,3D,N,PC,,Y,,
1371,Martha Madison: Energy,Steam,Tristen,FALSE,K-8 Audience,https://store.steampowered.com/bundle/6181/Martha_Madison_The_Complete_Collection/,2018,Second Avenue Learning,,Y,Y,N,,Physics,,,Undefined,N/A,$1.99,,Singleplayer,,,3D,N,PC,,Y,,
1372,Martha Madison: Forces,Steam,Tristen,FALSE,K-8 Audience,https://store.steampowered.com/bundle/6181/Martha_Madison_The_Complete_Collection/,2018,Second Avenue Learning,,Y,Y,N,,Physics,,,Undefined,N/A,$1.99,,Singleplayer,,,3D,N,PC,,Y,Learning Recipes through VR experience,
1373,Martha Madison: Magnetism,Steam,Tristen,FALSE,K-8 Audience,https://store.steampowered.com/bundle/6181/Martha_Madison_The_Complete_Collection/,2018,Second Avenue Learning,,Y,Y,N,,Physics,,,Undefined,N/A,$1.99,,Singleplayer,,,3D,N,PC,,Y,This game is supported by many conference/comittees/commisions within the EU.,
1374,Martha Madison: Optics,Steam,Tristen,FALSE,K-8 Audience,https://store.steampowered.com/bundle/6181/Martha_Madison_The_Complete_Collection/,2018,Second Avenue Learning,,Y,Y,N,,Physics,,,Undefined,N/A,$1.99,,Singleplayer,,,3D,N,PC,,Y,This game was made in partnership with ASFPM and their Conference to promote Land Development/Policies,
1375,Martha Madison: Simple Machines Volume 1,Steam,Tristen,FALSE,K-8 Audience,https://store.steampowered.com/bundle/6181/Martha_Madison_The_Complete_Collection/,2018,Second Avenue Learning,,Y,Y,N,,Physics,,,Undefined,N/A,$1.99,,Singleplayer,,,3D,N,PC,,Y,The game is directly tied to filament with no platform++ must contact directly for them to send to user.,
1376,Martha Madison: Simple Machines Volume 2,Steam,Tristen,FALSE,K-8 Audience,https://store.steampowered.com/bundle/6181/Martha_Madison_The_Complete_Collection/,2018,Second Avenue Learning,,Y,Y,N,,Physics,,,Undefined,N/A,$1.99,,Singleplayer,,,3D,N,PC,,Y,The game was made by filament to be used by McKinsey for training of employees in a variety of encounters within retail.,
1377,Martha Madison: Waves,Steam,Tristen,FALSE,K-8 Audience,https://store.steampowered.com/bundle/6181/Martha_Madison_The_Complete_Collection/,2018,Second Avenue Learning,,Y,Y,N,,Physics,,,Undefined,N/A,$1.99,,Singleplayer,,,3D,N,PC,,Y,,
1378,Masterpiece,Luminosity,Tristen,FALSE,6th-8th,https://www.lumosity.com/en/,,Luminosity,,,,,,,,,,,,,,,,,,,,,,
1379,Math Blaster Age 8-9,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1380,Math Blaster Ages 6-7,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1381,Math Blaster Ages 7-8,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1382,Math Blaster Cross Terrain Challenge Ages 9-12 ,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1383,Math Blaster in the Prime Adventure,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
1384,Math Blaster Pre-Algebra,IGN,Tristen,FALSE,K-8 curriculum,,,,JumpStart,,,,,,,,,,,,,,,,,,,,,
